"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora/Medio","Fuente","Muestra","Trabajo Campo","Ultimo dia","Particip","Lead","Ganador","Ventaja","ACP","Adelante","Adelante Andalucía","Adelante Andalucía (2018)","Adelante Andalucía (2021)","AIKE","Andaluces Levantaos","ASG","Avante","AxSí","BA","BNG","Caballas","CC–NCa","CCa","CH","CHA","CL","Clotilde Cuéllar","CM","Compromís","CpM","Cs","CUP","CY!","DO","E-2000","EC","ECP","EH Bildu","El Pi","Elkarrekin Podemos","ERC","ERC–Sobiranistes","esperta","EUPV","EV","FAC","FeC","Galicia en Común","Ganar Alcorcón","GBai","GBC","GeC","GJ","GT","GxF","I–E (n)","IGE","IU","IU–Madrid","IU–MeP","IU–V–RM","IU/IX","IUC","IUCyL","IULV","IUMA","Junts","JxCat","L","Marea Atlántica","Marea Galeguista","Más Madrid","Más Madrid–Leganemos","Más País","MCC","MDyC","Més","Més Compromís","MM–Alcorcón","MM–Fuenlabrada","MMAlcobendas","MMArganda","MMCCG","MMGM","MMP","MOVER Parla","MxMe","NA+","NCa","PACMA","PAR","PDeCAT","PIVG","PNV","Podem–EUPV","Podemos","Podemos–IU","Podemos–IU–Equo","PP","PP+Cs","PR+","PRC","PSC","PSdeG–PSOE","PSE–EE (PSOE)","PSIB–PSOE","PSN–PSOE","PSOE","PSOE–A","PSPV","PTSV","PVI","PxE","Somos Alcalá","Somos Región","SomosOviedo","SR100","TE","ULEG","Unidas Podemos","Unides Podem–EUIB","Unides Podem–EUPV","UP","UPL","UPporA","UPxA","UxA","Vox","XAV","ZD","ZGZ"
"1","Generales","España","Esp.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/ep13m22","1493","4-11 Mar",2022-03-11,"",3,"PSOE","PSOE +3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1.4,NA,NA,NA,3.4,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,17.4,NA,NA,0.2,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"2","Generales","España","Esp.",NA,NA,"InvyMark/laSexta","https://www.lasexta.com/noticias/nacional/barometro-lasexta-psoe-mantiene-como-partido-mas-votado-28-voto_20220313622df249e2af800001ea4a3f.html","-","7-11 Mar",2022-03-11,"",3.6,"PSOE","PSOE +3.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA
"3","Generales","España","Esp.",NA,NA,"Celeste-Tel/Onda Cero","https://www.ondacero.es/noticias/espana/encuesta-electoral-llegada-nunez-feijoo-hace-que-partido-recupere-alguno-escanos-perdidos_20220313622df7385bbac90001783a44.html","1100","2-9 Mar",2022-03-09,"",3.5,"PSOE","PSOE +3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.9,NA,NA,NA,NA,NA,1.1,NA,NA,NA,3.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,23.3,NA,NA,0.2,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA
"4","Generales","España","Esp.",NA,NA,"Hamalgama Métrica/VozPópuli","https://www.vozpopuli.com/espana/vox-pp-psoe.html","1000","3-9 Mar",2022-03-09,"",2.8,"PSOE","PSOE +2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,3.1,0.9,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,23.5,NA,NA,0.2,NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,20.4,NA,NA,NA
"5","Generales","España","Esp.",NA,NA,"Sigma Dos/El Mundo","https://www.elmundo.es/espana/encuestas/2022/03/13/622e17d421efa0e13f8b45a4.html","1965","4-7 Mar",2022-03-07,"",2.1,"PSOE","PSOE +2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,23.9,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,NA
"6","Autonómicas","Cantabria","Can.",NA,NA,"Logos Lab/PRC","https://www.electograph.com/2022/03/cantabria-encuesta-logos-lab-220306.html","800","6 Mar 2022",2022-03-06,"",5.4,"PRC","PRC +5.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,31.5,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"7","Generales","España","Esp.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/ep6m22/","2492","1-5 Mar",2022-03-05,"",3.5,"PSOE","PSOE +3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1,NA,NA,NA,NA,NA,1.4,NA,NA,NA,3.4,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,17,NA,NA,0.2,NA,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"8","Generales","España","Esp.",NA,NA,"Data10/OKDiario","https://okdiario.com/espana/efecto-feijoo-devuelve-11-escanos-pp-dos-semanas-podria-volver-gobernar-vox-8682746","1000","3-4 Mar",2022-03-04,"",2.4,"PSOE","PSOE +2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0.8,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.3,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,22.9,NA,NA,0.2,NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,21.9,NA,NA,NA
"9","Generales","España","Esp.",NA,NA,"NC Report/La Razón","https://www.larazon.es/espana/20220307/m2x2macztjboxa7ch34cgzbudy.html","1000","1-4 Mar",2022-03-04,"62.3",1.2,"PSOE","PSOE +1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
"10","Generales","España","Esp.",NA,NA,"Sigma Dos/Antena 3","https://www.antena3.com/noticias/espana/desploma-guerra-interna-psoe-ganaria-hoy-elecciones-generales-segun-encuesta-sigma-dos_20220302621fbd68e2af800001ddb29c.html","-","2 Mar",2022-03-02,"",3.4,"PSOE","PSOE +3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,NA
