"","x"
"1","https://en.m.wikipedia.org/wiki/2023_Spanish_general_election"
"2","https://en.wikipedia.org/wiki/Nationwide_opinion_polling_for_the_next_Spanish_general_election_(2019%E2%80%932021)"
"3","https://en.wikipedia.org/wiki/Sub-national_opinion_polling_for_the_next_Spanish_general_election"
"4","https://en.wikipedia.org/wiki/Next_Aragonese_regional_election"
"5","https://en.wikipedia.org/wiki/Next_Asturian_regional_election"
"6","https://en.wikipedia.org/wiki/Next_Cantabrian_regional_election"
"7","https://en.wikipedia.org/wiki/Next_Castilian-Manchegan_regional_election"
"8","https://en.wikipedia.org/wiki/2022_Castilian-Leonese_regional_election"
"9","https://en.wikipedia.org/wiki/Next_Catalan_regional_election"
"10","https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election"
"11","https://en.wikipedia.org/wiki/2023_Madrilenian_regional_election"
"12","https://en.wikipedia.org/wiki/Next_Murcian_regional_election"
"13","https://en.wikipedia.org/wiki/Next_Navarrese_regional_election"
"14","https://en.wikipedia.org/wiki/Next_Valencian_regional_election"
"15","https://en.wikipedia.org/wiki/Next_Extremaduran_regional_election"
"16","https://en.wikipedia.org/wiki/Next_Balearic_regional_election"
"17","https://en.wikipedia.org/wiki/Next_Riojan_regional_election"
"18","https://en.wikipedia.org/wiki/2023_Melilla_Assembly_election"
"19","https://en.wikipedia.org/wiki/Next_Canarian_regional_election"
"20","https://en.wikipedia.org/wiki/Next_Galician_regional_election"
"21","https://en.wikipedia.org/wiki/Next_Basque_regional_election"
"22","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Andalusia)"
"23","https://en.wikipedia.org/wiki/2023_Seville_City_Council_election"
"24","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Aragon)"
"25","https://en.wikipedia.org/wiki/2023_Zaragoza_City_Council_election"
"26","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Asturias)"
"27","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Balearic_Islands)"
"28","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Basque_Country)"
"29","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Canary_Islands)"
"30","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Castile_and_Le%C3%B3n)"
"31","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Castilla%E2%80%93La_Mancha)"
"32","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Catalonia)"
"33","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Extremadura)"
"34","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Galicia)"
"35","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Community_of_Madrid)"
"36","https://en.wikipedia.org/wiki/2023_Madrid_City_Council_election"
"37","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Region_of_Murcia)"
"38","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Navarre)"
"39","https://en.wikipedia.org/wiki/Opinion_polling_for_the_2023_Spanish_local_elections_(Valencian_Community)"
"40","https://en.wikipedia.org/wiki/2023_Valencia_City_Council_election"
"41","https://en.wikipedia.org/wiki/2023_Barcelona_City_Council_election"
"42","https://en.wikipedia.org/wiki/2022_Andalusian_regional_election"
